"SNo","Title","URL","Selling Price","MRP","Margin","Margin %"
"107","Great Value 12.70 cm Urad Papad 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Noodles%2C-Pasta-%26-Instant-Foods/Papad-%26-Fryums/GREAT-VALUE/p/000000000000004632","54.0","60.0","6.0","10.0"
"108","Mamaearth Onion Hair Oil For Hair Fall Control 150 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Oil-%26-Serums/MAMAEARTH/p/000000000000044148","299.25","399.0","99.75","25.0"
"109","Nestle Munch Chocolate Bar 48 N ( Rs. 5 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/NESTLE/p/000000000000011668","224.22","250.0","25.78","10.31"
"110","Nestle Munch Chocolate Bar 20 N (Rs.5 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/NESTLE/p/000000000000020518","90.91","100.0","9.09","9.09"
"111","Parachute Advansed Ayurvedic Gold Hair Oil 190 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Oil-%26-Serums/PARACHUTE/p/000000000000017314","88.18","97.0","8.82","9.09"
"112","Nafees Bakers Special Khari 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Bakery/Rusk-%26-Khari/NAFEES/p/000000000000020952","49.6","62.0","12.4","20.0"
"113","V Wash Plus Hygiene Wash 100 ml","https://www.bestprice.in/bestprice/Personal-care/Sanitary-Needs/Intimate-Wash/V-WASH-PLUS/p/000000000000015372","160.71","180.0","19.29","10.72"
"114","Unibic Health & Marie Biscuits Assorted Pack 450 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/UNIBIC/p/000000000000016577","129.0","149.0","20.0","13.42"
"115","Colgate Charcoal Clean Toothpaste 120 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/COLGATE/p/000000000000014846","100.0","110.0","10.0","9.09"
"116","Tresemme Keratin Shampoo Sachet 5.5 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/TRESEMME/p/000000000000040510","25.38","32.0","6.62","20.69"
